permit_number,particion,duracion_dias,duracion_log,tipo_permiso,agente,distrito,inspector,analysis_neighborhood,permit_zipcode,n_segmentos,lag_aprob_inicio,anio_aprobacion,mes_inicio,largo_proposito,tiene_proposito,permit_start_date,permit_end_date,Latitude,Longitude
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,6,Sin asignar,South of Market,94103,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.77644115815,-122.4118820325
25EXC-01889,test,587.0,6.376726947898627,Excavation,"Cratus, Inc.",10,Don Doan,Portola,94134,0.38016956182148776,0.19872647032823373,0.247534501480716,0.04706174348010315,3.1980946165851813,1,2025-07-21,2027-02-28,37.7209782871,-122.40087332838
25EXC-01889,test,587.0,6.376726947898627,Excavation,"Cratus, Inc.",10,Don Doan,Visitacion Valley,94134,0.38016956182148776,0.19872647032823373,0.247534501480716,0.04706174348010315,3.1980946165851813,1,2025-07-21,2027-02-28,37.71525239967,-122.40007624052
25EXC-01889,test,587.0,6.376726947898627,Excavation,"Cratus, Inc.",10,Don Doan,Bayview Hunters Point,Desconocido,0.38016956182148776,0.19872647032823373,0.247534501480716,0.04706174348010315,3.1980946165851813,1,2025-07-21,2027-02-28,37.71134702909,-122.39401110729
25EXC-01889,test,587.0,6.376726947898627,Excavation,"Cratus, Inc.",10,Don Doan,Visitacion Valley,94134,0.38016956182148776,0.19872647032823373,0.247534501480716,0.04706174348010315,3.1980946165851813,1,2025-07-21,2027-02-28,37.71784134696,-122.40037504507
25EXC-01889,test,587.0,6.376726947898627,Excavation,"Cratus, Inc.",10,Don Doan,Bayview Hunters Point,94134,0.38016956182148776,0.19872647032823373,0.247534501480716,0.04706174348010315,3.1980946165851813,1,2025-07-21,2027-02-28,37.71256676966,-122.39964561666
25EXC-01889,test,587.0,6.376726947898627,Excavation,"Cratus, Inc.",10,Don Doan,Bayview Hunters Point,94134,0.38016956182148776,0.19872647032823373,0.247534501480716,0.04706174348010315,3.1980946165851813,1,2025-07-21,2027-02-28,37.71109675879,-122.39691255444
25EXC-01889,test,587.0,6.376726947898627,Excavation,"Cratus, Inc.",10,Don Doan,Bayview Hunters Point,94134,0.38016956182148776,0.19872647032823373,0.247534501480716,0.04706174348010315,3.1980946165851813,1,2025-07-21,2027-02-28,37.71150658083,-122.39863445284
25EXC-01889,test,587.0,6.376726947898627,Excavation,"Cratus, Inc.",9,Don Doan,Portola,94134,0.38016956182148776,0.19872647032823373,0.247534501480716,0.04706174348010315,3.1980946165851813,1,2025-07-21,2027-02-28,37.72397779038,-122.40208467925
25EXC-01889,test,587.0,6.376726947898627,Excavation,"Cratus, Inc.",10,Don Doan,Bayview Hunters Point,94134,0.38016956182148776,0.19872647032823373,0.247534501480716,0.04706174348010315,3.1980946165851813,1,2025-07-21,2027-02-28,37.71213357591,-122.40135197014
26EXC-01027,test,165.0,5.111987788356544,Excavation,Michael O'Shaugnessy Construction Inc.,1,David Barajas,Inner Richmond,94118,-0.6672276825125026,0.30618925507367606,0.5436811197885065,-0.9661364717347387,1.1490490764513375,1,2026-04-16,2026-09-28,37.7849232405,-122.46510223613
24WR-00016,test,3940.0,8.279189777195004,Wireless,Otros,11,Jeffrey Ramirez,Outer Mission,94112,-0.9247843819388938,0.18632691824222114,-0.0486121168270745,-0.6284037333297915,-0.8811978807454991,0,2024-05-16,2035-02-28,37.709907441,-122.45664481769
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,3,Sin asignar,Russian Hill,Desconocido,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.79259306931,-122.41940178392
25EXC-01889,test,587.0,6.376726947898627,Excavation,"Cratus, Inc.",10,Don Doan,Bayview Hunters Point,Desconocido,0.38016956182148776,0.19872647032823373,0.247534501480716,0.04706174348010315,3.1980946165851813,1,2025-07-21,2027-02-28,37.71119938149,-122.39734371914
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,6,Sin asignar,Financial District/South Beach,94105,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.78495353846,-122.39902362391
25EXC-01889,test,587.0,6.376726947898627,Excavation,"Cratus, Inc.",10,Don Doan,Visitacion Valley,Desconocido,0.38016956182148776,0.19872647032823373,0.247534501480716,0.04706174348010315,3.1980946165851813,1,2025-07-21,2027-02-28,37.71790629611,-122.40013147564
25EXC-01889,test,587.0,6.376726947898627,Excavation,"Cratus, Inc.",10,Don Doan,Bayview Hunters Point,Desconocido,0.38016956182148776,0.19872647032823373,0.247534501480716,0.04706174348010315,3.1980946165851813,1,2025-07-21,2027-02-28,37.71102501109,-122.39482362555
25EXC-01889,test,587.0,6.376726947898627,Excavation,"Cratus, Inc.",10,Don Doan,Visitacion Valley,Desconocido,0.38016956182148776,0.19872647032823373,0.247534501480716,0.04706174348010315,3.1980946165851813,1,2025-07-21,2027-02-28,37.7153903038,-122.39954775358
25EXC-01889,test,587.0,6.376726947898627,Excavation,"Cratus, Inc.",10,Don Doan,Portola,94134,0.38016956182148776,0.19872647032823373,0.247534501480716,0.04706174348010315,3.1980946165851813,1,2025-07-21,2027-02-28,37.72029527046,-122.40116787202
25EXC-01889,test,587.0,6.376726947898627,Excavation,"Cratus, Inc.",9,Don Doan,Portola,94134,0.38016956182148776,0.19872647032823373,0.247534501480716,0.04706174348010315,3.1980946165851813,1,2025-07-21,2027-02-28,37.72510533681,-122.40310066567
25EXC-01889,test,587.0,6.376726947898627,Excavation,"Cratus, Inc.",10,Don Doan,Bayview Hunters Point,94134,0.38016956182148776,0.19872647032823373,0.247534501480716,0.04706174348010315,3.1980946165851813,1,2025-07-21,2027-02-28,37.71171167174,-122.39949620459
26EXC-03591,train,57.0,4.060443010546419,Excavation,Pacific Gas & Electric,7,Mario Novoa,Twin Peaks,94131,-0.9247843819388938,0.20699283838557545,0.5436811197885065,0.04706174348010315,-0.20444889501322028,1,2026-07-20,2026-09-15,37.74754002362,-122.45065105656
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,3,Sin asignar,Nob Hill,94109,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.79264594849,-122.41898926983
26EXC-03674,train,11.0,2.4849066497880004,Excavation,Otros,7,Otros,Inner Sunset,94116,-0.9247843819388938,0.24005831061494232,0.5436811197885065,0.38479448188505044,-0.31724039263526677,1,2026-08-31,2026-09-11,37.75258396076,-122.46535611947
26EXC-01294,train,28.0,3.367295829986474,Excavation,Pacific Gas & Electric,1,Jeffrey Ramirez,Golden Gate Park,94121,-0.9247843819388938,0.5004489044212064,0.5436811197885065,0.7225272202899977,-0.223247477950228,1,2026-09-10,2026-10-08,37.77274091918,-122.48044167341
26VDR-00028,train,304.0,5.720311776607412,Referral,Otros,9,Sin asignar,Mission,94110,-0.9247843819388938,-0.31792153325562367,0.5436811197885065,-1.303869210139686,-0.14805314620219703,1,2026-03-20,2027-01-18,37.751200352,-122.4181599552
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,3,Sin asignar,Nob Hill,Desconocido,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.79301359462,-122.41611301646
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,6,Sin asignar,South of Market,94103,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.77960876466,-122.41143498911
26EXC-01027,test,165.0,5.111987788356544,Excavation,Michael O'Shaugnessy Construction Inc.,1,David Barajas,Inner Richmond,94118,-0.6672276825125026,0.30618925507367606,0.5436811197885065,-0.9661364717347387,1.1490490764513375,1,2026-04-16,2026-09-28,37.78387174362,-122.46556235031
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,3,Sin asignar,Nob Hill,94109,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.79159992416,-122.42004746132
26S-00036,train,88.0,4.48863636973214,Otros,Otros,5,Otros,Pacific Heights,94115,-0.9247843819388938,0.19459328629956285,0.5436811197885065,0.7225272202899977,-0.09165739739117379,1,2026-09-03,2026-11-30,37.78684950697,-122.43565833468
26EXC-01027,test,165.0,5.111987788356544,Excavation,Michael O'Shaugnessy Construction Inc.,1,David Barajas,Inner Richmond,94118,-0.6672276825125026,0.30618925507367606,0.5436811197885065,-0.9661364717347387,1.1490490764513375,1,2026-04-16,2026-09-28,37.78469206311,-122.46722935389
26EXC-01027,test,165.0,5.111987788356544,Excavation,Michael O'Shaugnessy Construction Inc.,1,David Barajas,Inner Richmond,94118,-0.6672276825125026,0.30618925507367606,0.5436811197885065,-0.9661364717347387,1.1490490764513375,1,2026-04-16,2026-09-28,37.78478401551,-122.46616337793
26EXC-01027,test,165.0,5.111987788356544,Excavation,Michael O'Shaugnessy Construction Inc.,1,David Barajas,Inner Richmond,94118,-0.6672276825125026,0.30618925507367606,0.5436811197885065,-0.9661364717347387,1.1490490764513375,1,2026-04-16,2026-09-28,37.78573991679,-122.46569632502
26EXC-01027,test,165.0,5.111987788356544,Excavation,Michael O'Shaugnessy Construction Inc.,1,David Barajas,Inner Richmond,94118,-0.6672276825125026,0.30618925507367606,0.5436811197885065,-0.9661364717347387,1.1490490764513375,1,2026-04-16,2026-09-28,37.78373542539,-122.46769668164
26EXC-01027,test,165.0,5.111987788356544,Excavation,Michael O'Shaugnessy Construction Inc.,1,David Barajas,Inner Richmond,94118,-0.6672276825125026,0.30618925507367606,0.5436811197885065,-0.9661364717347387,1.1490490764513375,1,2026-04-16,2026-09-28,37.78555173226,-122.46890721601
26EXC-01027,test,165.0,5.111987788356544,Excavation,Michael O'Shaugnessy Construction Inc.,1,David Barajas,Inner Richmond,94118,-0.6672276825125026,0.30618925507367606,0.5436811197885065,-0.9661364717347387,1.1490490764513375,1,2026-04-16,2026-09-28,37.7856418155,-122.46676238848
25EXC-05457,train,419.0,6.040254711277414,Excavation,Otros,2,Eduard Rizal Salvador,Western Addition,94102,-0.5813754493703723,0.2028596543569046,0.247534501480716,1.7357254355048397,0.7730774177111825,1,2025-12-08,2027-01-31,37.78105370391,-122.42213675135
25EXC-03925,train,438.0,6.0844994130751715,Excavation,"Precision Engineering, Inc.",6,Sin asignar,South of Market,Desconocido,1.4619076994123303,-1.0205628181296698,0.5436811197885065,0.7225272202899977,0.17152276372693465,1,2025-09-21,2026-12-03,37.77560724353,-122.41548475012
25EXC-03925,train,438.0,6.0844994130751715,Excavation,"Precision Engineering, Inc.",6,Sin asignar,South of Market,94103,1.4619076994123303,-1.0205628181296698,0.5436811197885065,0.7225272202899977,0.17152276372693465,1,2025-09-21,2026-12-03,37.77191130044,-122.40619650589
25EXC-03925,train,438.0,6.0844994130751715,Excavation,"Precision Engineering, Inc.",6,Sin asignar,South of Market,94103,1.4619076994123303,-1.0205628181296698,0.5436811197885065,0.7225272202899977,0.17152276372693465,1,2025-09-21,2026-12-03,37.77405539944,-122.4081420997
25EXC-03925,train,438.0,6.0844994130751715,Excavation,"Precision Engineering, Inc.",6,Sin asignar,South of Market,94103,1.4619076994123303,-1.0205628181296698,0.5436811197885065,0.7225272202899977,0.17152276372693465,1,2025-09-21,2026-12-03,37.77646909068,-122.41440895085
25EXC-03925,train,438.0,6.0844994130751715,Excavation,"Precision Engineering, Inc.",7,Sin asignar,Inner Sunset,94122,1.4619076994123303,-1.0205628181296698,0.5436811197885065,0.7225272202899977,0.17152276372693465,1,2025-09-21,2026-12-03,37.76224530855,-122.46457842984
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,6,Sin asignar,Financial District/South Beach,Desconocido,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.78475517391,-122.39877437189
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,5,Sin asignar,Tenderloin,94102,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.78232887919,-122.41395968367
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,3,Sin asignar,Russian Hill,94109,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.79357534599,-122.41875744181
26EXC-01206,train,564.0,6.336825731146441,Excavation,"Esquivel Grading & Paving, Inc.",3,Garland Wong,Financial District/South Beach,94108,1.0669874269585307,0.2937897029876635,0.5436811197885065,-0.29067099492484416,0.3595085930970121,1,2026-06-15,2027-12-31,37.78679645225,-122.40495737396
26EXC-01206,train,564.0,6.336825731146441,Excavation,"Esquivel Grading & Paving, Inc.",5,Garland Wong,Tenderloin,94102,1.0669874269585307,0.2937897029876635,0.5436811197885065,-0.29067099492484416,0.3595085930970121,1,2026-06-15,2027-12-31,37.78609943916,-122.41050432805
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,3,Sin asignar,Russian Hill,Desconocido,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.79346691482,-122.41957912337
24EXC-04070,train,165.0,5.111987788356544,Excavation,Pacific Gas & Electric,6,Jeffrey Ramirez,Financial District/South Beach,Desconocido,-0.6328867892556506,1.508945807416896,0.5436811197885065,-1.9793346869495807,-0.33603897557227447,1,2027-01-04,2027-06-18,37.78184615613,-122.39207744923
24EXC-04070,train,165.0,5.111987788356544,Excavation,Pacific Gas & Electric,6,Jeffrey Ramirez,Financial District/South Beach,Desconocido,-0.6328867892556506,1.508945807416896,0.5436811197885065,-1.9793346869495807,-0.33603897557227447,1,2027-01-04,2027-06-18,37.79184207644,-122.39494023756
24EXC-04070,train,165.0,5.111987788356544,Excavation,Pacific Gas & Electric,6,Jeffrey Ramirez,Financial District/South Beach,Desconocido,-0.6328867892556506,1.508945807416896,0.5436811197885065,-1.9793346869495807,-0.33603897557227447,1,2027-01-04,2027-06-18,37.79253720337,-122.39405962416
24EXC-04070,train,165.0,5.111987788356544,Excavation,Pacific Gas & Electric,6,Jeffrey Ramirez,Mission Bay,94107,-0.6328867892556506,1.508945807416896,0.5436811197885065,-1.9793346869495807,-0.33603897557227447,1,2027-01-04,2027-06-18,37.78023400891,-122.3900589626
18WR-0384,train,3946.0,8.280711075662847,Wireless,Otros,9,Sin asignar,Mission,94110,-0.9247843819388938,0.18632691824222114,-1.529345208366027,-0.29067099492484416,-0.8811978807454991,0,2019-06-11,2030-03-31,37.76341371979,-122.41958063079
25EXC-04312,train,478.0,6.171700597410915,Excavation,Michael O'Shaugnessy Construction Inc.,1,Joyce Bulatao,Outer Richmond,Desconocido,1.5992712724397389,0.2028596543569046,0.247534501480716,1.060259958694945,0.05873126610488817,1,2025-10-20,2027-02-10,37.77762823372,-122.49637941894
24IE-00460,train,1187.0,7.080026499922591,StrtImprov,Otros,7,Otros,West of Twin Peaks,94112,-0.9076139353104677,0.16152781407019598,0.247534501480716,1.060259958694945,1.2618405740733838,1,2025-10-01,2028-12-31,37.72569290117,-122.45235881231
24EXC-04070,train,165.0,5.111987788356544,Excavation,Pacific Gas & Electric,6,Jeffrey Ramirez,Financial District/South Beach,94105,-0.6328867892556506,1.508945807416896,0.5436811197885065,-1.9793346869495807,-0.33603897557227447,1,2027-01-04,2027-06-18,37.79314587677,-122.3948215827
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,6,Sin asignar,Financial District/South Beach,94103,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.7844844006,-122.39911709951
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,3,Sin asignar,Nob Hill,94109,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.79181342789,-122.41840198069
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,3,Sin asignar,Russian Hill,94109,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.7933623872,-122.42040455313
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,5,Sin asignar,Tenderloin,94102,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.78325910085,-122.41414766836
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,6,Sin asignar,South of Market,94103,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.77329871668,-122.40909968969
25IE-00515,train,1005.0,6.913737350659685,StrtImprov,Otros,6,Sin asignar,Treasure Island,Desconocido,-0.9247843819388938,0.18219373421355028,0.5436811197885065,-0.9661364717347387,1.4122292375694456,1,2026-04-01,2028-12-31,37.81675051466,-122.3719151297
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,6,Sin asignar,South of Market,94103,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.77561106462,-122.41084008529
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,6,Sin asignar,South of Market,94103,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.77708254123,-122.41363229606
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,6,Sin asignar,South of Market,94103,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.7752100588,-122.41033674893
