"permit_number","streetname","Cross Street 1","Cross Street 2","Permit Type","Agent","AgentPhone","Permit Purpose","Approved Date","Status","cnn","permit_zipcode","permit_start_date","permit_end_date","permit_address","24/7 Contact","Inspector","CurbRampWork","X","Y","Latitude","Longitude","bpa","Location","the_geom","analysis_neighborhood","supervisor_district","data_as_of","data_loaded_at"
"26EXC-01641","08TH ST","NATOMA ST","HOWARD ST","Excavation","Ronan Construction Inc.","415-779-5262","8th St, Clay St and Leavenworth St - Pavement Renovation and Sewer Replacement","04/15/2026","APPROVED","408000","94103","05/01/2026","10/28/2026",,"415-779-5262",,,"6009140,96308","2110825,76329","37,77644115815","-122,4118820325",,"POINT (-122.41188203249555 37.77644115815177)","POINT (-122.411882032 37.776441158)","South of Market","6","2026/04/16 03:34:45 AM","2026/04/17 05:23:32 AM"
"25EXC-01889","SAN BRUNO AVE","MANSELL ST \ SALINAS AVE","ORDWAY ST","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","11385000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6011911,823","2090569,998","37,7209782871","-122,40087332838",,"POINT (-122.40087332838284 37.720978287099676)","POINT (-122.400873328 37.720978287)","Portola","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"23IE-00344","WALNUT ST","PACIFIC AVE","JACKSON ST","StrtImprov","Partner's Contracting, Inc.","415-492-9233","Remove and reconstruct sidewalk and existing (19’) driveway curb cut per approved plan.  Additional paving as required and directed by SFPW/BSM inspector. Field inspection is MANDATORY prior to excavation and pouring concrete, call 1-628-271-2000 or email dpw-bsminspects@sfdpw.org  to schedule. This permit is in conjunction with MSE permit.","08/26/2025","APPROVED","13381000","94118",,"09/15/2026","15 WALNUT ST","Refer to Agent",,,"5998395,38651","2116443,35732","37,79125689282","-122,44945871865","202210184608","POINT (-122.44945871865453 37.79125689282032)","POINT (-122.449458719 37.791256893)","Presidio Heights","2","2025/08/28 03:42:52 AM","2025/08/29 05:13:53 AM"
"25EXC-01889","CAMPBELL AVE","SAN BRUNO AVE","BRUSSELS ST","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","3637000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6012099,99156","2088480,85453","37,71525239967","-122,40007624052",,"POINT (-122.40007624051567 37.715252399671314)","POINT (-122.400076241 37.7152524)","Visitacion Valley","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","CANDLESTICK COVE WAY","EXECUTIVE PARK BLVD",,"Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","54206000","0","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6013825,217186","2087023,572266","37,71134702909","-122,39401110729",,"POINT (-122.39401110729395 37.71134702909027)","POINT (-122.394011107 37.711347029)","Bayview Hunters Point","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","HARKNESS AVE","SAN BRUNO AVE","GIRARD ST","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","6676000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6012032,72014","2089425,09639","37,71784134696","-122,40037504507",,"POINT (-122.40037504506704 37.71784134695686)","POINT (-122.400375045 37.717841347)","Visitacion Valley","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","WHEELER AVE","HESTER AVE","BLANKEN AVE","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","13596000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6012204,67719","2087500,64263","37,71256676966","-122,39964561666",,"POINT (-122.39964561665961 37.71256676966131)","POINT (-122.399645617 37.71256677)","Bayview Hunters Point","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","BLANKEN AVE","NUEVA AVE","GILLETTE AVE","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","2991000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6012984,2434","2086949,46112","37,71109675879","-122,39691255444",,"POINT (-122.39691255443782 37.711096758785345)","POINT (-122.396912554 37.711096759)","Bayview Hunters Point","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","BLANKEN AVE","PENINSULA AVE","TOCOLOMA AVE","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","2989000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6012489,27937","2087108,75367","37,71150658083","-122,39863445284",,"POINT (-122.39863445284317 37.71150658083282)","POINT (-122.398634453 37.711506581)","Bayview Hunters Point","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","SAN BRUNO AVE","DWIGHT ST","PAUL AVE","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","11381000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6011583,73114","2091669,06913","37,72397779038","-122,40208467925",,"POINT (-122.40208467924744 37.7239777903775)","POINT (-122.402084679 37.72397779)","Portola","9","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","BLANKEN AVE","BAY SHORE BLVD","TUNNEL AVE","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","2986000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6011707,98734","2087352,96474","37,71213357591","-122,40135197014",,"POINT (-122.40135197014077 37.712133575911565)","POINT (-122.40135197 37.712133576)","Bayview Hunters Point","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"26EXC-01027","CALIFORNIA ST","06TH AVE","07TH AVE \ CORNWALL ST","Excavation","Michael O'Shaugnessy Construction Inc.","4155924017","Various Locations Pavement Renovation No.67b, Sewer Replacement, and Overhead Contact System Local Isolation","03/18/2026","APPROVED","3582000","94118","04/16/2026","09/28/2026",,"415-799-7043","David Barajas",,"5993827,63039","2114232,17622","37,7849232405","-122,46510223613",,"POINT (-122.46510223613139 37.78492324050231)","POINT (-122.465102236 37.784923241)","Inner Richmond","1","2026/03/19 03:00:27 AM","2026/03/20 05:26:59 AM"
"24WR-00016","REGENT ST","CAYUGA AVE","ALEMANY BLVD \ I-280 N ON RAMP \ SAN JOSE AVE","Wireless","ExteNet Systems (California) LLC","415-377-7826",,"05/16/2024","APPROVED","10960000","94112","05/16/2024","02/28/2035","80 REGENT ST","916-801-4924","Jeffrey Ramirez",,"5995700,09728","2086872,22355","37,709907441","-122,45664481769",,"POINT (-122.45664481768651 37.70990744099582)","POINT (-122.456644818 37.709907441)","Outer Mission","11","2025/08/28 03:42:52 AM","2025/08/29 05:13:53 AM"
"26EXC-01641","CLAY ST","LARKIN ST",,"Excavation","Ronan Construction Inc.","415-779-5262","8th St, Clay St and Leavenworth St - Pavement Renovation and Sewer Replacement","04/15/2026","APPROVED","25297000","0","05/01/2026","10/28/2026",,"415-779-5262",,"true","6007088,70582","2116750,27399","37,79259306931","-122,41940178392",,"POINT (-122.41940178392413 37.792593069311124)","POINT (-122.419401784 37.792593069)","Russian Hill","3","2026/04/16 03:34:45 AM","2026/04/17 05:23:32 AM"
"25EXC-01889","BLANKEN AVE","NUEVA AVE",,"Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","20271000","0","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan","true","6012860,30353","2086989,3483","37,71119938149","-122,39734371914",,"POINT (-122.39734371914106 37.71119938148932)","POINT (-122.397343719 37.711199381)","Bayview Hunters Point","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"26EXC-01641","KAPLAN LN","CLEMENTINA ST","END: 1-99 BLOCK","Excavation","Ronan Construction Inc.","415-779-5262","8th St, Clay St and Leavenworth St - Pavement Renovation and Sewer Replacement","04/15/2026","APPROVED","7741000","94105","05/01/2026","10/28/2026",,"415-779-5262",,,"6012919,36763","2113849,00598","37,78495353846","-122,39902362391",,"POINT (-122.39902362391096 37.78495353846463)","POINT (-122.399023624 37.784953538)","Financial District/South Beach","6","2026/04/16 03:34:45 AM","2026/04/17 05:23:32 AM"
